NPI,State,Login Time,Logout Time,Usage Time (mins),Count of Survey Attempts,Active Duration,Speciality_General Practice,Speciality_Neurology,Speciality_Oncology,Speciality_Orthopedics,Speciality_Pediatrics,Speciality_Radiology,Region_Northeast,Region_South,Region_West
1000000000,NY,2025-03-08 06:09:00,2025-03-08 06:28:00,19,3,19.0,False,False,False,False,False,False,True,False,False
1000000001,MI,2025-03-08 12:28:00,2025-03-08 13:10:00,42,5,42.0,False,False,True,False,False,False,False,False,False
1000000002,CA,2025-03-08 15:11:00,2025-03-08 15:37:00,26,8,26.0,False,False,True,False,False,False,False,False,True
1000000003,TX,2025-03-08 14:17:00,2025-03-08 15:36:00,79,9,79.0,False,False,False,True,False,False,True,False,False
1000000004,GA,2025-03-08 15:59:00,2025-03-08 17:37:00,98,0,98.0,False,False,True,False,False,False,False,False,True
1000000005,IL,2025-03-08 11:41:00,2025-03-08 13:37:00,116,10,116.0,False,False,False,True,False,False,False,False,False
1000000006,TX,2025-03-08 11:33:00,2025-03-08 12:20:00,47,6,47.0,False,False,False,False,False,False,False,False,False
1000000007,TX,2025-03-08 16:37:00,2025-03-08 18:15:00,98,6,98.0,True,False,False,False,False,False,False,False,True
1000000008,NC,2025-03-08 18:54:00,2025-03-08 19:22:00,28,8,28.0,False,False,False,False,True,False,True,False,False
1000000009,PA,2025-03-08 13:42:00,2025-03-08 14:01:00,19,10,19.0,False,True,False,False,False,False,False,False,True
1000000010,OH,2025-03-08 15:05:00,2025-03-08 15:21:00,16,1,16.0,False,False,False,True,False,False,False,True,False
1000000011,IL,2025-03-08 12:22:00,2025-03-08 13:58:00,96,10,96.0,True,False,False,False,False,False,False,False,False
1000000012,NY,2025-03-08 14:31:00,2025-03-08 15:46:00,75,5,75.0,False,False,False,True,False,False,False,False,False
1000000013,CA,2025-03-08 12:21:00,2025-03-08 13:06:00,45,10,45.0,False,False,True,False,False,False,False,False,True
1000000014,CA,2025-03-08 13:05:00,2025-03-08 13:25:00,20,2,20.0,False,False,False,False,False,True,False,True,False
1000000015,OH,2025-03-08 11:26:00,2025-03-08 13:17:00,111,2,111.0,True,False,False,False,False,False,False,False,True
1000000016,GA,2025-03-08 11:20:00,2025-03-08 12:53:00,93,9,93.0,False,False,False,False,False,False,False,False,False
1000000017,MI,2025-03-08 20:10:00,2025-03-08 21:31:00,81,8,81.0,False,False,False,False,False,True,True,False,False
1000000018,TX,2025-03-08 12:23:00,2025-03-08 12:29:00,6,5,6.0,True,False,False,False,False,False,False,False,False
1000000019,CA,2025-03-08 12:34:00,2025-03-08 13:29:00,55,0,55.0,False,False,False,True,False,False,False,False,True
1000000020,TX,2025-03-08 14:21:00,2025-03-08 14:33:00,12,4,12.0,False,False,False,False,False,False,False,True,False
1000000021,PA,2025-03-08 19:06:00,2025-03-08 19:17:00,11,0,11.0,False,True,False,False,False,False,False,False,True
1000000022,OH,2025-03-08 13:34:00,2025-03-08 15:22:00,108,7,108.0,False,False,True,False,False,False,True,False,False
1000000023,PA,2025-03-08 06:55:00,2025-03-08 08:53:00,118,4,118.0,False,False,True,False,False,False,False,False,False
1000000024,IL,2025-03-08 19:08:00,2025-03-08 20:24:00,76,7,76.0,False,False,False,False,False,True,False,False,True
1000000025,NY,2025-03-08 11:05:00,2025-03-08 11:41:00,36,1,36.0,False,True,False,False,False,False,True,False,False
1000000026,OH,2025-03-08 16:12:00,2025-03-08 16:29:00,17,7,17.0,True,False,False,False,False,False,False,False,True
1000000027,GA,2025-03-08 10:39:00,2025-03-08 12:10:00,91,1,91.0,False,True,False,False,False,False,True,False,False
